Sensor Name,MAPE Holt-Winters,MAPE Linear Regression,MAPE XGBoost,MAPE LSTM
PER_AIRMON_MESH1915150,3.445,1.355,1.429,1.751
PER_AIRMON_MESH300245,11.528,3.158,18.964,23.063
PER_AIRMON_MESH303245,3.335,59.528,4.779,56.978
PER_AIRMON_MONITOR1056100,2.648,56.55,2.667,6.305
